D-Boxes,Usable,Overhead,Total Usable Capacity TB,Error correction overhead,Total w/File System Overhead,Physical,,
1,982.67,369.01,982.67,20.00%,27.30%,1351.68,,
2,1105.4,246.28,2210.81,10.00%,18.22%,1351.68,,
3,1149.06,202.62,3447.19,6.45%,14.99%,1351.68,,
4,1169.74,181.94,4678.98,4.76%,13.46%,1351.68,,
5,1181.91,169.77,5909.54,3.77%,12.56%,1351.68,,
6,1189.88,161.8,7139.3,3.13%,11.97%,1351.68,,
7,1195.56,156.12,8368.93,2.67%,11.55%,1351.68,,
8,1195.56,156.12,9564.49,2.67%,11.55%,1351.68,,
9,1195.56,156.12,10760.05,2.67%,11.55%,1351.68,,
10,1195.56,156.12,11955.61,2.67%,11.55%,1351.68,,
11,1195.56,156.12,13151.17,2.67%,11.55%,1351.68,,
12,1195.56,156.12,14346.73,2.67%,11.55%,1351.68,,
13,1195.56,156.12,15542.29,2.67%,11.55%,1351.68,,
14,1195.56,156.12,16737.85,2.67%,11.55%,1351.68,,
15,1195.56,156.12,17933.41,2.67%,11.55%,1351.68,,
16,1195.56,156.12,19128.98,2.67%,11.55%,1351.68,,
17,1195.56,156.12,20324.54,2.67%,11.55%,1351.68,,
18,1195.56,156.12,21520.1,2.67%,11.55%,1351.68,,
19,1195.56,156.12,22715.66,2.67%,11.55%,1351.68,,
20,1195.56,156.12,23911.22,2.67%,11.55%,1351.68,,
21,1195.56,156.12,25106.78,2.67%,11.55%,1351.68,,
22,1195.56,156.12,26302.34,2.67%,11.55%,1351.68,,
23,1195.56,156.12,27497.9,2.67%,11.55%,1351.68,,
24,1195.56,156.12,28693.46,2.67%,11.55%,1351.68,,
25,1195.56,156.12,29889.02,2.67%,11.55%,1351.68,,
26,1195.56,156.12,31084.58,2.67%,11.55%,1351.68,,
27,1195.56,156.12,32280.15,2.67%,11.55%,1351.68,,
28,1195.56,156.12,33475.71,2.67%,11.55%,1351.68,,
29,1195.56,156.12,34671.27,2.67%,11.55%,1351.68,,
30,1195.56,156.12,35866.83,2.67%,11.55%,1351.68,,
31,1195.56,156.12,37062.39,2.67%,11.55%,1351.68,,
32,1195.56,156.12,38257.95,2.67%,11.55%,1351.68,,
33,1195.56,156.12,39453.51,2.67%,11.55%,1351.68,,
34,1195.56,156.12,40649.07,2.67%,11.55%,1351.68,,
35,1195.56,156.12,41844.63,2.67%,11.55%,1351.68,,
36,1195.56,156.12,43040.19,2.67%,11.55%,1351.68,,
37,1195.56,156.12,44235.76,2.67%,11.55%,1351.68,,Delta
38,1195.56,156.12,45431.32,2.67%,11.55%,1351.68,,1195.56
39,1195.56,156.12,46626.88,2.67%,11.55%,1351.68,,1195.56
40,1195.56,156.12,47822.44,2.67%,11.55%,1351.68,,1195.56
41,1195.56,156.12,49018.00,2.67%,11.55%,1351.68,,
42,1195.56,156.12,50213.56,2.67%,11.55%,1351.68,,
43,1195.56,156.12,51409.12,2.67%,11.55%,1351.68,,
44,1195.56,156.12,52604.68,2.67%,11.55%,1351.68,,
45,1195.56,156.12,53800.24,2.67%,11.55%,1351.68,,
46,1195.56,156.12,54995.80,2.67%,11.55%,1351.68,,
47,1195.56,156.12,56191.36,2.67%,11.55%,1351.68,,
48,1195.56,156.12,57386.92,2.67%,11.55%,1351.68,,
49,1195.56,156.12,58582.48,2.67%,11.55%,1351.68,,
50,1195.56,156.12,59778.04,2.67%,11.55%,1351.68,,
51,1195.56,156.12,60973.60,2.67%,11.55%,1351.68,,
52,1195.56,156.12,62169.16,2.67%,11.55%,1351.68,,
53,1195.56,156.12,63364.72,2.67%,11.55%,1351.68,,
54,1195.56,156.12,64560.28,2.67%,11.55%,1351.68,,
